title,author,Coverdate,Volume,Issue,Pages,DOI
Best Execution: Defining Best Execution in an Increasingly Complex Trading Environment,Ryan Larson,Fall 2010,5,(4),46-49,https://doi.org/10.3905/jot.2010.5.4.046
Empirical Limitations on High-Frequency Trading Profitability,"Michael Kearns,Alex Kulesza and Yuriy Nevmyvaka",Fall 2010,5,(4),50-62,https://doi.org/10.3905/jot.2010.5.4.050
VIX Calculation Methodology: Mystifying or Mathematically Convoluted?,Bani Arora,Fall 2010,5,(4),63-64,https://doi.org/10.3905/jot.2010.5.4.063
When Should You Trade?,Ryan Garvey and Fei Wu,Fall 2010,5,(4),65-77,https://doi.org/10.3905/jot.2010.5.4.065
How Do Trading Costs Vary Across the Day? A Note on the Innovative XLM Measure for Small Caps at the FrankfurtStock Exchange,"Christiane Goodfellow,Dirk Schiereck and Tatjana Verrier",Fall 2010,5,(4),78-87,https://doi.org/10.3905/jot.2010.5.4.078
Innovative Option Combinations: Enhancing the Straddle,Andrew Laubie,Fall 2010,5,(4),88-97,https://doi.org/10.3905/jot.2010.5.4.088
Editor’s Letter,Brian R. Bruce,Winter 2011,6,(1),2,https://doi.org/10.3905/jot.2011.6.1.002
"U.S. Exchange Auction Trends: Recent Opening andClosing Auction Behavior, and the Implicationson Order Management Strategies",Robert Kissell and Hans Lie,Winter 2011,6,(1),10-30,https://doi.org/10.3905/jot.2011.6.1.010
Does Smart Routing Matter?,"Jeff Bacidore,Hernan Otero and Alak Vasa",Winter 2011,6,(1),32-37,https://doi.org/10.3905/jot.2011.6.1.032
Are Short Sellers Superior Traders?,Leslie Boni and Michael Rosen,Winter 2011,6,(1),38-45,https://doi.org/10.3905/jot.2011.6.1.038
Analysis of Binary Trading Patterns in Xetra,Kai-Oliver Maurer and Carsten Schäfer,Winter 2011,6,(1),46-60,https://doi.org/10.3905/jot.2011.6.1.046
An Autoregressive Market Model of Trader Herding and Communication,Suneal K. Chaudhary,Winter 2011,6,(1),62-73,https://doi.org/10.3905/jot.2011.6.1.062
Shedding Light on the Dark: OTC Equities Trading in Europe,"Peter Gomber,Marco Lutat,Axel Pierron and Moritz C. Weber",Winter 2011,6,(1),74-86,https://doi.org/10.3905/jot.2011.6.1.074
"High-Frequency Trading: Implications for Markets,Regulators, and Efficiency","Jayaram Muthuswamy,John Palmer,Nivine Richie and Robert Webb",Winter 2011,6,(1),87-97,https://doi.org/10.3905/jot.2011.6.1.087
Editor’s Letter,Brian R. Bruce,Spring 2011,6,(2),1,https://doi.org/10.3905/jot.2011.6.2.001
The Exchange of Flow Toxicity,"David Easley,Marcos M. López de Prado and Maureen O’Hara",Spring 2011,6,(2),8-13,https://doi.org/10.3905/jot.2011.6.2.008
"Alternative Trading Systems in Europe: TradingPerformance by European Venues Post-MiFID,2010 Update",Yossi Brandes and Ian Domowitz,Spring 2011,6,(2),14-21,https://doi.org/10.3905/jot.2011.6.2.014
A Look at the Use of VIX Futures in Investment Portfolios: Buy-and-Hold versus Tactical Allocations,Travis L. Jones,Spring 2011,6,(2),22-29,https://doi.org/10.3905/jot.2011.6.2.022
Optimal Allocation Across Dark Pools as a Probabilistic Decision Problem,Vacslav Glukhov,Spring 2011,6,(2),30-34,https://doi.org/10.3905/jot.2011.6.2.030
Informed Institutional Trading Around Merger andAcquisition Announcements,Guohua Li,Spring 2011,6,(2),35-49,https://doi.org/10.3905/jot.2011.6.2.035
Illuminating the Profitability of Pairs Trading: A Test ofthe Relative Pricing Efficiency of Markets for WaterUtility Stocks,Jose A. Gutierrez and Yiuman Tse,Spring 2011,6,(2),50-64,https://doi.org/10.3905/jot.2011.6.2.050
New Era in Canadian Trading,"Chris Sparrow,Vimal Patel and Brian Lee",Spring 2011,6,(2),65-83,https://doi.org/10.3905/jot.2011.6.2.065
Risk Model and the Model Risk: Probabilistic DecisionTheory Applied to One Often Overlooked Risk,Vacslav Glukhov,Spring 2011,6,(2),84-89,https://doi.org/10.3905/jot.2011.6.2.084
Editor’s Letter,Brian R. Bruce,Summer 2011,6,(3),1,https://doi.org/10.3905/jot.2011.6.3.001
Algorithmic Trading Usage Patterns and Their Costs,Ian Domowitz and Henry Yegerman,Summer 2011,6,(3),9-21,https://doi.org/10.3905/jot.2011.6.3.009
Evidence-Based Policy Making for Financial Markets: AFairness and Efficiency Framework for AssessingMarket Quality,Michael J. Aitken and Frederick H. deB. Harris,Summer 2011,6,(3),22-31,https://doi.org/10.3905/jot.2011.6.3.022
Is the Trading of Inverse ETFs a Bearish Signal?,Benjamin M. Blau and Tyler J. Brough,Summer 2011,6,(3),32-40,https://doi.org/10.3905/jot.2011.6.3.032
Rosenblatt’s Dark Liquidity Tracker: 2010 in Review,Justin Schack and Joe Gawronski,Summer 2011,6,(3),41-51,https://doi.org/10.3905/jot.2011.6.3.041
Mimicking Investment Strategies in Tender Offers: A Microstructure Approach,Igor Semenenko,Summer 2011,6,(3),52-60,https://doi.org/10.3905/jot.2011.6.3.052
End-of-Day Stock Trading Volume Prediction with aTwo-Component Hierarchical Model,"Shuhao Chen,Rong Chen,Gary Ardell and Biquan Lin",Summer 2011,6,(3),61-68,https://doi.org/10.3905/jot.2011.6.3.061
Evidence-Based Regulatory Policy Making for Financial Markets: A Panel Discussion of a Proposed Framework for Assessing Market Quality,"Frederick H. deB. Harris,Michael J. Aitken,Alfred R. Berkeley,James Overdahl and Kumar Venkataraman",Summer 2011,6,(3),69-89,https://doi.org/10.3905/jot.2011.6.3.069
Editor’s Letter,Brian R. Bruce,Fall 2011,6,(4),1,https://doi.org/10.3905/jot.2011.6.4.001
Creating Dynamic Pretrade Models: Beyond the Black Box,Robert Kissell,Fall 2011,6,(4),8-15,https://doi.org/10.3905/jot.2011.6.4.008
The New World of Transaction Cost Analysis,William Conlin,Fall 2011,6,(4),16-17,https://doi.org/10.3905/jot.2011.6.4.016
"Trading Patterns, Liquidity, and the Citigroup Split","Milan Borkovec,Ian Domowitz and Konstantin Tyurin",Fall 2011,6,(4),18-33,https://doi.org/10.3905/jot.2011.6.4.018
Do Informed Traders Prefer Automated Electronic Markets?,Timothy T. Perry,Fall 2011,6,(4),34-44,https://doi.org/10.3905/jot.2011.6.4.034
Design and Implementation of Schedule-Based TradingStrategies Based on Uncertainty Bands,"Vladimir Markov,Slava Mazur and David Saltz",Fall 2011,6,(4),45-52,https://doi.org/10.3905/jot.2011.6.4.045
An Algorithm for Portfolio Trades with Transaction Costs,Thomas A. Rhee,Fall 2011,6,(4),53-59,https://doi.org/10.3905/jot.2011.6.4.053
Execution Costs of Market Designs Worldwide duringthe Global Credit Crisis,P. Joakim Westerholm and Henry Leung,Fall 2011,6,(4),60-81,https://doi.org/10.3905/jot.2011.6.4.060
Editor’s Letter,Brian R. Bruce,Winter 2012,7,(1),1,https://doi.org/10.3905/jot.2012.7.1.001
Inside the Opening Auction,"Jeff Bacidore,Kathryn Berkow and James Wong",Winter 2012,7,(1),7-14,https://doi.org/10.3905/jot.2012.7.1.007
Market Structure Matters,Charles Polk and Evan Schulman,Winter 2012,7,(1),15-17,https://doi.org/10.3905/jot.2012.7.1.015
Adverse Selection in a High-Frequency Trading Environment,"Milos Agatonovic,Vimal Patel and Chris Sparrow",Winter 2012,7,(1),18-33,https://doi.org/10.3905/jot.2012.7.1.018
The Portfolio Role of High-Frequency Hedge Funds,John B. Abbink,Winter 2012,7,(1),34-42,https://doi.org/10.3905/jot.2012.7.1.034
Volatility ETFs and ETNs,Berlinda Liu and Srikant Dash,Winter 2012,7,(1),43-48,https://doi.org/10.3905/jot.2012.7.1.043
Equity Derivatives Standardization: A Critical Element in Curbing Systemic Risk,Nick Fry,Winter 2012,7,(1),49-53,https://doi.org/10.3905/jot.2012.7.1.049
U.S. Market Structure: Is This What We Asked For?,Ryan Larson,Winter 2012,7,(1),54-61,https://doi.org/10.3905/jot.2012.7.1.054
Latency Cost and Information: Does Speed Matter for All Market Participants?,Ryan Garvey,Winter 2012,7,(1),62-73,https://doi.org/10.3905/jot.2012.7.1.062
The Performance Characteristics of Minimum Variance Portfolios,"Mahesh Pritamani,Sean Smith and Aran Murphy",Winter 2012,7,(1),74-77,https://doi.org/10.3905/jot.2012.7.1.074
Editor’s Letter,Brian R. Bruce,Spring 2012,7,(2),1,https://doi.org/10.3905/jot.2012.7.2.001
Federal Market Information Technology in the Post–FlashCrash Era: Roles for Supercomputing,"E. Wes Bethel,David Leinweber,Oliver Rübel and Kesheng Wu",Spring 2012,7,(2),9-25,https://doi.org/10.3905/jot.2012.7.2.009
Electronic Markets and Trading Algorithms,Sunil Wahal,Spring 2012,7,(2),26-36,https://doi.org/10.3905/jot.2012.7.2.026
Price-Pattern Recognition Using a Local PolynomialRegression,Sheng-Yang Wang and Guoyi Zhang,Spring 2012,7,(2),37-43,https://doi.org/10.3905/jot.2012.7.2.037
The Failure of Continuous Markets,Chris Sparrow,Spring 2012,7,(2),44-47,https://doi.org/10.3905/jot.2012.7.2.044
Optimal Execution and Alpha Capture,Adriana M. Criscuolo and Henri Waelbroeck,Spring 2012,7,(2),48-56,https://doi.org/10.3905/jot.2012.7.2.048
Whole-Distribution Statistical Process Control in High-Frequency Trading,Ricky A. Cooper and Ben Van Vliet,Spring 2012,7,(2),57-68,https://doi.org/10.3905/jot.2012.7.2.057
Dark Pool DNA: Improving Dark Pool Assessment,Ben Polidore,Spring 2012,7,(2),69-74,https://doi.org/10.3905/jot.2012.7.2.069
Can High-Frequency Traders Game Futures?,Irene Aldridge,Spring 2012,7,(2),75-82,https://doi.org/10.3905/jot.2012.7.2.075
Intraday Effects around Directors’ Dealings: Disclosures inGermany and the United Kingdom,Kaspar Dardas,Spring 2012,7,(2),83-105,https://doi.org/10.3905/jot.2012.7.2.083
Editor’s Letter,Brian R. Bruce,Summer 2012,7,(3),1,https://doi.org/10.3905/jot.2012.7.3.001
Cluster Analysis for Evaluating Trading Strategies,"Jeff Bacidore,Kathryn Berkow,Ben Polidore and Nigam Saraiya",Summer 2012,7,(3),6-11,https://doi.org/10.3905/jot.2012.7.3.006
What Drives Option Prices?,Frédéric Abergel and Riadh Zaatour,Summer 2012,7,(3),12-28,https://doi.org/10.3905/jot.2012.7.3.012
On the Design of Sell-Side Limit and Market Order Tactics,Vladimir Markov,Summer 2012,7,(3),29-39,https://doi.org/10.3905/jot.2012.7.3.029
The Representativeness Heuristic and Asset Price Reaction to New Information,Guo Ying Luo,Summer 2012,7,(3),40-51,https://doi.org/10.3905/jot.2012.7.3.040
Return Dynamics and Trading Strategy in Alternative Trading Systems,"Jeffrey R. Black,Hong Miao and Sanjay Ramchander",Summer 2012,7,(3),52-65,https://doi.org/10.3905/jot.2012.7.3.052
Quantifying the Liquidity Premium in Emerging Market Trading,K. Vaidyanathan,Summer 2012,7,(3),66-75,https://doi.org/10.3905/jot.2012.7.3.066
Currency at the Speed of Light: Suitability of the Foreign Exchange Market for High-Frequency Trading,Myles E. Mangram,Summer 2012,7,(3),76-84,https://doi.org/10.3905/jot.2012.7.3.076
"Regulatory Trading Restrictions, Overvaluation,and Insider Selling",Rustin Yerkes,Summer 2012,7,(3),85-102,https://doi.org/10.3905/jot.2012.7.3.085
Editor’s Letter,Brian R. Bruce,Fall 2012,7,(4),1,https://doi.org/10.3905/jot.2012.7.4.001
European Market Quality Pre-/Post-MiFID: A Panel Discussion of Metrics for Market Integrity and Efficiency,Harris Frederick H. deB and Elisa Maree DiMarco,Fall 2012,7,(4),7-26,https://doi.org/10.3905/jot.2012.7.4.007
Intraday Volatility Models: Methods to Improve Real-Time Forecasts,Robert Kissell,Fall 2012,7,(4),27-34,https://doi.org/10.3905/jot.2012.7.4.027
Do Short Sellers Trade in Anticipation of Short Interest Announcements?,"Benjamin M. Blau,Bonnie F. Van Ness and Robert A. Van Ness",Fall 2012,7,(4),35-46,https://doi.org/10.3905/jot.2012.7.4.035
Trade Cost: Handicapping on PAR,Vlad Rashkovich and Arun Verma,Fall 2012,7,(4),47-54,https://doi.org/10.3905/jot.2012.7.4.047
Dynamic Density Estimation of Market Microstructure Variablesvia Auxiliary Particle Filtering,"Daniel Nehren,David Fellah,Jesus Ruiz-Mata and Yichen Qin",Fall 2012,7,(4),55-64,https://doi.org/10.3905/jot.2012.7.4.055
Evolution of Advanced Trading Technologies in India,Arin Ray,Fall 2012,7,(4),65-67,https://doi.org/10.3905/jot.2012.7.4.065
Time Lags in Processing Market-Sensitive Information:A Case Study,"Alessandro Innocenti,Pier Malpenga,Lorenzo Menconi and Alessandro Santoni",Fall 2012,7,(4),68-77,https://doi.org/10.3905/jot.2012.7.4.068
"Algorithmic, Electronic, and Automated Trading",Ayub Hanif and Robert Elliott Smith,Fall 2012,7,(4),78-86,https://doi.org/10.3905/jot.2012.7.4.078
Editor’s Letter,Brian R. Bruce,Winter 2013,8,(1),1,https://doi.org/10.3905/jot.2012.8.1.001
Boosting the Liquidity of the Market Engine: Horsepowerversus Torque,Robert A. Jaeger,Winter 2013,8,(1),6-7,https://doi.org/10.3905/jot.2012.8.1.006
Boosting Carry in a Negative Rate World,Pavan Wadhwa and Kedran Panageas,Winter 2013,8,(1),9-14,https://doi.org/10.3905/jot.2012.8.1.009
Rules-Based Integration of News-Trading Algorithms,Stephane Gagnon,Winter 2013,8,(1),15-27,https://doi.org/10.3905/jot.2012.8.1.015
Trader Alpha Frontier: A Framework for Portfolio Managersand Traders to Maximize Portfolio Performance,Vlad Rashkovich,Winter 2013,8,(1),28-37,https://doi.org/10.3905/jot.2012.8.1.028
Credit-Rating Changes and Institutional Trading,Pankaj K. Jain and Qin Wang,Winter 2013,8,(1),38-47,https://doi.org/10.3905/jot.2012.8.1.038
Trading around the Close,"Jeff Bacidore,Ben Polidore,Wenjie Xu and Cindy Y. Yang",Winter 2013,8,(1),48-57,https://doi.org/10.3905/jot.2012.8.1.048
"The Good, the Bad, and the Ugly of AutomatedHigh-Frequency Trading",Tommi A. Vuorenmaa,Winter 2013,8,(1),58-74,https://doi.org/10.3905/jot.2012.8.1.058
Multi-Asset Class Investing and Trading: “A ContinuingWork in Progress”,Ravi Manchi and James Leman,Winter 2013,8,(1),75-82,https://doi.org/10.3905/jot.2012.8.1.075
Editor’s Letter,Brian R. Bruce,Spring 2013,8,(2),1,https://doi.org/10.3905/jot.2013.8.2.001
Effect of Being a Fallen Angel on Bond Ratings and Yields,Kelly Cai,Spring 2013,8,(2),7-13,https://doi.org/10.3905/jot.2013.8.2.007
The Impact of Political Uncertainty and Abnormal Market Conditions on Institutional Trading Behavior,Emre Kuvvet,Spring 2013,8,(2),15-22,https://doi.org/10.3905/jot.2013.8.2.015
Four Things to Consider to Trade Smarter in Asia,Louis Lovas,Spring 2013,8,(2),23-27,https://doi.org/10.3905/jot.2013.8.2.023
Classifying Technical Indicators Using K-Medoid Clustering,Eng Talal Alsulaiman,Spring 2013,8,(2),29-39,https://doi.org/10.3905/jot.2013.8.2.029
Palm Oil: Unlocking the Opportunity,Anup Singh,Spring 2013,8,(2),40-43,https://doi.org/10.3905/jot.2013.8.2.040
Investment and Trade Execution in Emerging Markets: Prospects and Challenges,"Bharat Kumar,N. Kannan and Lalatendu Khandagiri",Spring 2013,8,(2),45-56,https://doi.org/10.3905/jot.2013.8.2.045
Liquidity Provision in a Limit-Order Market: The Case of the Tunisian Stock Exchange,Rouetbi Emna and Mamoghli Chokri,Spring 2013,8,(2),57-73,https://doi.org/10.3905/jot.2013.8.2.057
Brazilian Auctions: A Primer,Namit Setia,Spring 2013,8,(2),74-78,https://doi.org/10.3905/jot.2013.8.2.074
Editor’s Letter,Brian R. Bruce,Summer 2013,8,(3),1,https://doi.org/10.3905/jot.2013.8.3.001
Do Opening Stock Prices ContainInformation Content?,Harlan Platt and Licheng Cai,Summer 2013,8,(3),8-14,https://doi.org/10.3905/jot.2013.8.3.008
Block-Crossing Networks and The Value ofNatural Liquidity,Vladimir Markov and Tito Ingargiola,Summer 2013,8,(3),16-39,https://doi.org/10.3905/jot.2013.8.3.016
A Practical Real Options Approach to ValuingHigh-Frequency Trading System R&D Projects,Andrew Kumiega and Ben Van Vliet,Summer 2013,8,(3),40-48,https://doi.org/10.3905/jot.2013.8.3.040
The Rise and Fall of the New JerseyStock Exchange,Ethan Namvar,Summer 2013,8,(3),49-56,https://doi.org/10.3905/jot.2013.8.3.049
A Daily Trading Strategy in theETN Space,"Lovjit Thukral,Dean Diavatopoulos,Hélyette Geman and Colby Wright",Summer 2013,8,(3),57-67,https://doi.org/10.3905/jot.2013.8.3.057
Prediction of Hidden Liquidity in theLimit Order Book of GLOBEX Futures,Hugh L. Christensen and Robert Woodmansey,Summer 2013,8,(3),68-95,https://doi.org/10.3905/jot.2013.8.3.068
"When Bonds Fall, Fed Action Determinesthe Collateral Effects",Jay Feuerstein and Jeffrey Bolduc,Summer 2013,8,(3),96-101,https://doi.org/10.3905/jot.2013.8.3.096
The Rationale for AT 9000: An ISO9000-Style Quality Management System Standardfor Automated and Algorithmic Trading,"Ben Van Vliet,Ricky Cooper,Andrew Kumiega and Jim Northey",Summer 2013,8,(3),102-106,https://doi.org/10.3905/jot.2013.8.3.102
Editor’s Letter,Brian R. Bruce,Fall 2013,8,(4),1,https://doi.org/10.3905/jot.2013.8.4.001
Optimal Trading Algorithm Selection and Utilization: Traders’ Consensus versus Reality,Jingle Liu and Kapil Phadnis,Fall 2013,8,(4),9-19,https://doi.org/10.3905/jot.2013.8.4.009
Ranking the Performance of U.S. Dark Venues,Brad Johmann and Shi L. Li,Fall 2013,8,(4),20-25,https://doi.org/10.3905/jot.2013.8.4.020
A Primer on Trading SIFMA Swaps,"Pavan Wadhwa,Peter DeGroot,Srini Ramaswamy,Alberto Iglesias and Joshua D. Younger",Fall 2013,8,(4),26-36,https://doi.org/10.3905/jot.2013.8.4.026
Balancing Execution Risk and Trading Cost in Portfolio Trading Algorithms,"Jeff Bacidore,Di Wu and Wenjie Xu",Fall 2013,8,(4),37-43,https://doi.org/10.3905/jot.2013.8.4.037
Assessing Stop-Loss and Re-Entry Strategies,Joachim Klement,Fall 2013,8,(4),44-53,https://doi.org/10.3905/jot.2013.8.4.044
The Effect of Brokers on the Dynamics of a Walrasian Auction,"Philippe Gregoire,James Eaves,Michel Gendron and Manel Kammoun",Fall 2013,8,(4),54-64,https://doi.org/10.3905/jot.2013.8.4.054
Trading in an Asset-Converged World,Steve Grob,Fall 2013,8,(4),66-68,https://doi.org/10.3905/jot.2013.8.4.066
Multi-Asset Trading Costs,Robert Kissell,Fall 2013,8,(4),69-80,https://doi.org/10.3905/jot.2013.8.4.069
Does Trading in a Competitive Framework across Multiple Venues in Fixed-Income Markets Add Value?,"Jason Lenzo,William Skimming,Ashley Grissom and Brandon Rasmussen",Fall 2013,8,(4),81-86,https://doi.org/10.3905/jot.2013.8.4.081
Editor’s Letter,Brian R. Bruce,Winter 2014,9,(1),1,https://doi.org/10.3905/jot.2013.9.1.001
Market Evolution: 1996–2012,Anne Anderson and Edward A. Dyl,Winter 2014,9,(1),7-21,https://doi.org/10.3905/jot.2013.9.1.007
What Makes an Exchange a Unique Institution?,Robert A. Schwartz and John Aidan Byrne,Winter 2014,9,(1),22-33,https://doi.org/10.3905/jot.2013.9.1.022
Stock Market Returns and Liquidity: Dynamic Relationshipsand Causality,Vichet Sum,Winter 2014,9,(1),34-40,https://doi.org/10.3905/jot.2013.9.1.034
An Empirical Analysis of Option Directional Trading and Stock Depth Asymmetry,Qin Wang,Winter 2014,9,(1),41-47,https://doi.org/10.3905/jot.2013.9.1.041
Editorial Board Commentary,Brian R. Bruce,Winter 2014,9,(1),49-53,https://doi.org/10.3905/jot.2013.9.1.049
Big Data’s Impact on Trading and Technology,Marcus Kwan,Winter 2014,9,(1),54-56,https://doi.org/10.3905/jot.2013.9.1.054
Smart Technology for Big Data,Michael Blake,Winter 2014,9,(1),57-66,https://doi.org/10.3905/jot.2013.9.1.057
Big Data/Big Compute Technologies and the Realm of Possibilities: The Emergence of Real-Time Risk Enterprises in the Capital Markets Industry,Mayiz Habbal,Winter 2014,9,(1),67-70,https://doi.org/10.3905/jot.2013.9.1.067
Real-Time TCA Visualization: The Next Frontier in Trading Analytics,Serdar Armutcu,Winter 2014,9,(1),71-77,https://doi.org/10.3905/jot.2013.9.1.071
Optimizing Fund Performance in the New Financial Market Ecosystem,Henri Waelbroeck,Winter 2014,9,(1),78-86,https://doi.org/10.3905/jot.2013.9.1.078
Editor’s Letter,Brian R. Bruce,Spring 2014,9,(2),1,https://doi.org/10.3905/jot.2014.9.2.001
Measuring Market Timing: An InternationalExamination of Market Timing Conditions,William F. Johnson and Scott W. Barnhart,Spring 2014,9,(2),6-20,https://doi.org/10.3905/jot.2014.9.2.006
Equity Trading Activity and CreditSpread Shock,Vichet Sum,Spring 2014,9,(2),21-26,https://doi.org/10.3905/jot.2014.9.2.021
Behavioral Pattern of Emerging Asia CurrencyOption Risk Reversals: An Indicatorfor Foreign Exchange Hedging,Suresh Ramanathan and Kian Teng,Spring 2014,9,(2),27-38,https://doi.org/10.3905/jot.2014.9.2.027
The Cost of the D-Quote,"Jeff Bacidore,Ben Polidore and Wenjie Xu",Spring 2014,9,(2),39-42,https://doi.org/10.3905/jot.2014.9.2.039
Optimal Execution Size in Pro-RataMarkets,Irene Aldridge,Spring 2014,9,(2),43-50,https://doi.org/10.3905/jot.2014.9.2.043
Market ability Filters in Spread ExecutionTrading Algorithms,"Iaryna Grynkiv,Lada Kyj and Tim Garrett",Spring 2014,9,(2),51-58,https://doi.org/10.3905/jot.2014.9.2.051
"Big Data, Big Decisions: The ComingChange in Technology Investments",David L. Meitz,Spring 2014,9,(2),60-63,https://doi.org/10.3905/jot.2014.9.2.060
Attention: A Better Way to MeasureSEO Marketing Impact,"Xing Lu,Hunter M. Holzhauer and Jun Wang",Spring 2014,9,(2),64-75,https://doi.org/10.3905/jot.2014.9.2.064
The Data Management Invasion,Louis Lovas,Spring 2014,9,(2),76-79,https://doi.org/10.3905/jot.2014.9.2.076
Editor’s Letter,Brian R. Bruce,Summer 2014,9,(3),1,https://doi.org/10.3905/jot.2014.9.3.001
What Makes an Exchange a Unique Institution?A Commentary,Ian Domowitz,Summer 2014,9,(3),8-11,https://doi.org/10.3905/jot.2014.9.3.008
What Makes an Exchange a Unique Institution?A Response to Ian Domowitz,"Robert A. Schwartz,John Aidan Byrne and Andrew M. Brooks",Summer 2014,9,(3),12-14,https://doi.org/10.3905/jot.2014.9.3.012
Predicting Intraday Trading Volumeand Volume Percentages,"Venkatesh Satish,Abhay Saxena and Max Palmer",Summer 2014,9,(3),15-25,https://doi.org/10.3905/jot.2014.9.3.015
Constant Impact Strategy,Vladimir Markov,Summer 2014,9,(3),26-33,https://doi.org/10.3905/jot.2014.9.3.026
Intermittency in Stock Market Dynamics,"A. Ozun,Y.F. Contoyiannis,F.K. Diakonos,M. Hanias and L. Magafas",Summer 2014,9,(3),34-41,https://doi.org/10.3905/jot.2014.9.3.034
Dynamic Multi-Factor Bid–Offer Adjustment Model:A Feedback Mechanism for Dealers (Market Makers)to Deal (Grapple) with the Uncertainty Principle of the Social Sciences,Ravi Kashyap,Summer 2014,9,(3),42-55,https://doi.org/10.3905/jot.2014.9.3.042
A Practical Approach to Liquidity Calculation,"Oleh Danyliv,Bruce Bland and Daniel Nicholass",Summer 2014,9,(3),57-65,https://doi.org/10.3905/jot.2014.9.3.057
Challenges for the European ETF Market,Michael John Lytle,Summer 2014,9,(3),66-67,https://doi.org/10.3905/jot.2014.9.3.066
"An Intertemporal Study of ETF Liquidityand Underlying Factor Transition, 2009–2014","Pankaj Agrrawal,John M. Clark,Rajat Agarwal and Jivendra K. Kale",Summer 2014,9,(3),69-78,https://doi.org/10.3905/jot.2014.9.3.069
Measuring the Liquidity of ETFs:An Application to the European Market,Thierry Roncalli and Ban Zheng,Summer 2014,9,(3),79-108,https://doi.org/10.3905/jot.2014.9.3.079
Seeking Optimal ETF Executionin Electronic Markets,"Kiran Pingali,Jingle Liu,Sanghyun Park and Michael Baradas",Summer 2014,9,(3),109-119,https://doi.org/10.3905/jot.2014.9.3.109
Editor’s Letter,Brian R. Bruce,Fall 2014,9,(4),1,https://doi.org/10.3905/jot.2014.9.4.001
Fragmentation and Price Discovery: A Comparison of Reg NMS and MiFID1,"Frederick H. deB. Harris,Thomas H. McInish,Frank J. Sensenbrenner and Robert A. Wood",Fall 2014,9,(4),6-36,https://doi.org/10.3905/jot.2014.9.4.006
Does High-Speed Trading Enhance Market Efficiency? Empirical Analysison “Arrowhead” of the Tokyo Stock Exchange,Shinichi Nagata and Koji Inui,Fall 2014,9,(4),37-47,https://doi.org/10.3905/jot.2014.9.4.037
Understanding the Stakes of High-Frequency Trading,"Frédéric Abergel,Charles-Albert Lehalle and Mathieu Rosenbaum",Fall 2014,9,(4),49-73,https://doi.org/10.3905/jot.2014.9.4.049
Both Calamity and Catalyst: Reflections on This Centennial Momentin Financial Services,Chip Register,Fall 2014,9,(4),75-81,https://doi.org/10.3905/jot.2014.9.4.075
Effect of Volatility Fluctuations on Optimal Execution Schedules,Adriana M. Criscuolo and Henri Waelbroeck,Fall 2014,9,(4),82-90,https://doi.org/10.3905/jot.2014.9.4.082
Ex Post Price Impact Modeling: Challenges and Opportunities,"Denizhan Alparslan,Milan Borkovec and Konstantin Tyurin",Fall 2014,9,(4),91-99,https://doi.org/10.3905/jot.2014.9.4.091
On the Efficacy of Stop-Loss Strategies,Sarah Marietta Tooth,Fall 2014,9,(4),100-107,https://doi.org/10.3905/jot.2014.9.4.100
Editor’s Letter,Brian Bruce,Winter 2015,10,(1),1,https://doi.org/10.3905/jot.2014.10.1.001
The Cost of Liquidity in the FX Market,"Milan Borkovec,James Cochrane,Ian Domowitz and Christopher Escobar",Winter 2015,10,(1),6-19,https://doi.org/10.3905/jot.2014.10.1.006
Trading Strategies Around Earnings Announcements,Padma Kadiyala,Winter 2015,10,(1),21-36,https://doi.org/10.3905/jot.2014.10.1.021
Evaluation of Systematic Trading Programs,Mikhail Munenzon,Winter 2015,10,(1),37-55,https://doi.org/10.3905/jot.2014.10.1.037
On the Trading Behavior of Emerging Market ETFs,Gerasimos G. Rompotis,Winter 2015,10,(1),56-86,https://doi.org/10.3905/jot.2014.10.1.056
A Framework for Stop-Loss Analysis on Trading Strategies,Oliver Chan and Alfred Ka Chun Ma,Winter 2015,10,(1),87-95,https://doi.org/10.3905/jot.2014.10.1.087
Does Broker Competition in Liquidity Supply Matter?,"Kristoffer Kevin Avila,Joel Fabre and Elvis Jarnecic",Winter 2015,10,(1),96-115,https://doi.org/10.3905/jot.2014.10.1.096
Editor’s Letter,Brian Bruce,Spring 2015,10,(2),1,https://doi.org/10.3905/jot.2015.10.2.001
A Comparative Analysis on the Volume-Return Relationship of the Exchange-Traded Fund and the Stock Market,Jung-Chu Lin and Vichet Sum,Spring 2015,10,(2),5-22,https://doi.org/10.3905/jot.2015.10.2.005
The State of Play in European Over-the-Counter Equities Trading,"Peter Gomber,Satchit Sagade,Erik Theissen,Moritz Christian Weber and Christian Westheide",Spring 2015,10,(2),23-32,https://doi.org/10.3905/jot.2015.10.2.023
Expected Return in High-Frequency Trading,Rick Cooper and Ben Van Vliet,Spring 2015,10,(2),34-40,https://doi.org/10.3905/jot.2015.10.2.034
The Effects of Algorithmic Trading on Security Market Quality,Frederick H. deB. Harris,Spring 2015,10,(2),41-53,https://doi.org/10.3905/jot.2015.10.2.041
First Steps in Developing High-Frequency Trading Models,Bruce Vanstone and Tobias Hahn,Spring 2015,10,(2),54-71,https://doi.org/10.3905/jot.2015.10.2.054
Effects of High-Frequency Trading in the Multidealer Spot Foreign Exchange,Anatoly Schmidt,Spring 2015,10,(2),72-78,https://doi.org/10.3905/jot.2015.10.2.072
